code_specialite,libelle_specialite
100,Formations générales
134,Autres disciplines artistiques et spécialités artistiques plurivalentes
310,Spécialités plurivalentes des échanges et de la gestion
999,Autres...
333,"Enseignement, formation"
321,Journalisme et communication
324,"Secrétariat, bureautique"
412,Développement des capacités mentales et apprentissages de base
415,"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles"
242,"Habillement (y compris mode, couture)"
313,"Finances, banque, assurances"
136,"Langues vivantes, civilisations étrangères et régionales"
320,Spécialités plurivalentes de la communication
413,Développement des capacités comportementales et relationnelles
214,"Aménagement paysager (parcs, jardins, espaces verts)"
326,"Informatique, traitement de l'information, réseaux de transmission des données"
133,"Musique, arts du spectacle"
323,"Techniques de l'image et du son, métiers connexes du spectacle"
128,"Droit, sciences politiques"
414,Développement des capacités individuelles d'organisation
125,Linguistique
132,Arts plastiques
315,"Ressources humaines, gestion du personnel, gestion de l'emploi"
314,"Comptabilité, gestion"
221,"Agro-alimentaire, alimentation, cuisine"
230,"Spécialités pluritechnologiques, génie civil, construction, bois"
311,"Transport, manutention, magasinage"
211,"Productions végétales,cultures spécialisées"
336,"Coiffure, esthétique et autres spécialités des services aux personnes"
312,"Commerce, vente"
325,"Documentation, bibliothèques, administration des données"
330,Spécialités plurivalentes sanitaires et sociales
,
251,"Mécanique générale et de précision, usinage"
344,"Sécurité des biens et des personnes, police, surveillance"
201,Technologies de commandes des transformations industrielles
212,"Productions animales, élevage spécialisé, aquaculture, ..."
332,Travail social
341,"Aménagement du territoire, développement, urbanisme"
331,Santé
300,Spécialités plurivalentes des services
120,"Spécialités pluridisciplinaires, sciences humaines et droit"
232,Bâtiment: construction et couverture
122,Economie
255,"Electricité, électronique (non compris automatisme et productique)"
233,Bâtiment: finitions
200,Technologies industrielles fondamentales
410,Spécialités concernant plusieurs capacités
423,"Vie familiale, vie sociale et autres formations au développement personnel"
227,"Energie, génie climatique"
131,"Français, littérature et civilisation françaises"
110,Spécialités pluriscientifiques
223,"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)"
114,"Mathématiques, statistiques"
220,Spécialités pluritechnologiques des transformations
117,Sciences de la terre
124,Psychologie
250,"Spécialités plutitechnologiques, mécanique-électricité"
234,Travail du bois et de l'ameublement
252,Moteurs et mécanique auto
123,"Sciences sociales (y compris démographie, anthropologie)"
322,Techniques de l'imprimerie et de l'édition
113,Sciences naturelles (Biologie-Géologie)
231,"Mines et carrières, génie civil, topographie"
222,Transformations chimiques et apparentées (y compris pharmaceutiques)
210,Spécialités plurivalentes de l'agronomie et de l'agriculture
343,"Nettoyage, assainissement, protection de l'environnement"
342,Protection et développement du patrimoine
335,"Animation culturelle, sportive et de loisirs"
411,Pratiques sportives
241,Textile
421,Jeux et activités spécifiques de loisirs
345,Application des droits et statuts des personnes
253,Mécanique aéronautique et spatiale
334,"Accueil, hôtellerie, tourisme"
225,"Plasturgie, matériaux composites"
112,"Chimie-biologie, biochimie"
111,Physique-chimie
116,Chimie
118,Sciences de la vie
127,"Philosophie, éthique et théologie"
130,Spécialités littéraires et artistiques plurivalentes
115,Physique
213,"Forêts, espaces naturels, faune sauvage, pêche"
224,"Matériaux de construction, verre, céramique"
121,Géographie
254,Structures métalliques
422,Economie et activités domestiques
226,"Papier, carton"
340,Spécialités plurivalentes des services à la collectivité
135,Langues et civilisations anciennes
240,"Spécialités pluritechnologiques, matériaux souples"
243,Cuirs et peaux
346,Spécialités militaires
126,Histoire
